Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,Kobe Bryant,29,LAL,1100,1260,0.873,82,57,3,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,6,5.4,,,,
2,Chris Paul,22,NOH,894,1260,0.71,80,56,4,37.6,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284,8.5,9.2,,,,
3,Kevin Garnett,31,BOS,670,1260,0.532,71,66,1,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,12.9,0.265,5.5,7.4,,,,
4,LeBron,23,CLE,438,1260,0.348,75,45,13,40.4,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242,10.1,11.2,,,,
5,Dwight Howard,22,ORL,60,1260,0.048,82,52,9,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0,0.59,12.9,0.2,3.3,2.2,,,,
6,Amar'e Stoudemire,25,PHO,27,1260,0.021,79,55,7,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262,4,3.9,,,,
7,Tim Duncan,31,SAS,25,1260,0.02,78,56,5,34,19.3,11.3,2.8,0.7,1.9,0.497,0,0.73,11.1,0.201,4.5,4.7,,,,
8,Tracy McGrady,28,HOU,19,1260,0.015,66,55,6,37,21.6,5.1,5.9,1,0.5,0.419,0.292,0.684,5.8,0.115,2.7,2.4,,,,
9,Steve Nash,33,PHO,18,1260,0.014,81,55,7,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181,2.6,1.6,,,,
10,Manu Ginobili,30,SAS,9,1260,0.007,74,56,5,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,5.9,8.1,,,,
