Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,Derrick Rose,22,CHI,1182,1210,0.977,81,62,1,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208,6,5.9,,,,
2,DH12,25,ORL,643,1210,0.531,78,52,8,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,14.4,0.235,5,4.8,,,,
3,LeBron,26,MIA,522,1210,0.431,79,58,3,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,15.6,0.244,8.2,8.6,,,,
4,Kobe,32,LAL,428,1210,0.354,82,57,5,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178,4.1,3.8,,,,
5,KD,22,OKC,190,1210,0.157,78,55,7,38.9,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,12,0.189,3.7,2.9,,,,
6,Dirk Nowitzki,32,DAL,113,1210,0.093,73,57,4,34.3,23,7,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213,3.7,3.8,,,,
7,Dwyane Wade,29,MIA,24,1210,0.02,76,58,3,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218,5.7,5.9,,,,
8,Manu Ginobili,33,SAS,20,1210,0.017,80,61,2,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195,4.5,5.3,,,,
9,Amar'e Stoudemire,28,NYK,9,1210,0.007,78,42,15,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8,0.134,1.9,0.7,,,,
10,Blake Griffin,21,LAC,5,1210,0.004,82,32,23,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,4,3.2,,,,
10,Rajon Rondo,24,BOS,5,1210,0.004,68,56,6,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126,2.5,2,,,,
