Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,LeBron James,25,CLE,1205,1230,0.98,76,61,1,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,10.9,12.5,,,,
2,Kevin Durant,21,OKC,609,1230,0.495,82,50,10,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,16.1,0.238,5.8,5.1,,,,
3,Kobe Bryant,31,LAL,599,1230,0.487,73,57,3,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,9.4,0.16,4,3.6,,,,
4,DH12,24,ORL,478,1230,0.389,82,59,2,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,13.2,0.223,5.4,5.5,,,,
5,Dwyane Wade,28,MIA,119,1230,0.097,77,47,13,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13,0.224,8,9.4,,,,
6,Carmelo Anthony,25,DEN,65,1230,0.053,69,53,7,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145,2.3,1.4,,,,
7,Dirk Nowitzki,31,DAL,55,1230,0.045,81,55,4,37.5,25,7.7,2.7,0.9,1,0.481,0.421,0.915,12.3,0.194,3.5,2.6,,,,
8,Steve Nash,35,PHO,49,1230,0.04,81,54,5,32.8,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,9.9,0.178,2.6,1.8,,,,
9,Deron Williams,25,UTA,7,1230,0.006,76,53,8,36.9,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177,3.7,3.3,,,,
10,Amar'e Stoudemire,27,PHO,5,1230,0.004,82,54,5,34.6,23.1,8.9,1,0.6,1,0.557,0.167,0.771,10.7,0.181,1.6,0.3,,,,
