Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,LeBron James,24,CLE,1172,1210,0.969,81,66,1,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,11.6,13,,,,
2,Kobe Bryant,30,LAL,698,1210,0.577,82,65,2,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206,4.9,4.5,,,,
3,Dwyane Wade,27,MIA,680,1210,0.562,79,43,14,38.6,30.2,5,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232,9.7,10.7,,,,
4,DH12,23,ORL,328,1210,0.271,79,59,4,35.7,20.6,13.8,1.4,1,2.9,0.572,0,0.594,13.8,0.234,4.6,4.4,,,,
5,Chris Paul,23,NOH,192,1210,0.159,78,49,10,38.5,22.8,5.5,11,2.8,0.1,0.503,0.364,0.868,18.3,0.292,10,11.2,,,,
6,Chauncey Billups,32,TOT,33,1210,0.027,79,55,5,35.3,17.7,3,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174,3.2,2.5,,,,
7,Paul Pierce,31,BOS,21,1210,0.017,81,62,3,37.5,20.5,5.6,3.6,1,0.3,0.457,0.391,0.83,10.3,0.164,3.4,2.5,,,,
8,Tony Parker,26,SAS,9,1210,0.007,72,54,7,34.1,22,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168,3.2,3.1,,,,
9,Brandon Roy,24,POR,7,1210,0.006,78,54,6,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223,5.7,5.8,,,,
10,Dirk Nowitzki,30,DAL,3,1210,0.002,81,50,9,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171,2.4,1.2,,,,
